Day,VN-Index,S&P 500,STOXX,VND/USD,VND/EUR,interest rate,inflation,GDP,SS,GSPC,N225,^STOXX,Index,Saving
1,1168.27,3821.350098,417.25,23033,27084,4,1.16,69298.31,3501.987061,3841.939941,28864.32031,408.6799927,50670.38926,100
2,1161.97,3875.439941,420.4100037,22707.5,26937,4,1.16,69298.31,3421.409912,3821.350098,28743.25,417.25,54305.99524,100.0229
3,1170.08,3898.810059,422.1099854,22726.4707,27052,4,1.16,69298.31,3359.290039,3875.439941,29027.93945,420.4100037,56928.49829,100.0458052
4,1181.73,3939.340088,424.1700134,23052,27013,4,1.16,69298.31,3357.73999,3898.810059,29036.56055,422.1099854,58039.31562,100.0687157
5,1181.5601,3943.340088,423.0799866,23051,27181,4,1.16,69298.31,3436.830078,3939.340088,29211.64063,424.1700134,59863.76634,100.0916315
6,1184.5601,3968.939941,423.0799866,22651.58008,27076,4,1.16,69298.31,3453.080078,3943.340088,29717.83008,423.0799866,59354.52233,100.1145525
7,1179.9,3962.709961,426.8200073,23081,27120,4,1.16,69298.31,3419.949951,3968.939941,29766.9707,423.0799866,57928.69141,100.1374787
8,1186.09,3974.120117,424.9100037,23082,27177,4,1.16,69298.31,3446.73291,3962.709961,29921.08984,426.8200073,58842.07515,100.1604102
9,1200.9399,3915.459961,426.5899963,23045,27021,4,1.16,69298.31,3445.551025,3974.120117,29914.33008,424.9100037,60932.80024,100.1833469
10,1194.05,3913.100098,423.3500061,23065,27145,4,1.16,69298.31,3463.068115,3915.459961,30216.75,426.5899963,59873.0581,100.2062889
11,1194.4301,3940.590088,424.1700134,22761.62891,27058,4,1.16,69298.31,3404.659912,3913.100098,29792.05078,423.3500061,60396.55226,100.2292361
12,1183.45,3910.52002,423.3099976,23076,27126,4,1.16,69298.31,3443.439941,3940.590088,29174.15039,424.1700134,56436.06434,100.2521886
13,1161.8101,3889.139893,423.3900146,23070,27021,4,1.16,69298.31,3411.51001,3910.52002,28995.91992,423.3099976,56633.02604,100.2751464
14,1163.1,3909.52002,423.0799866,23080,26915,4,1.16,69298.31,3367.060059,3889.139893,28405.51953,423.3900146,54571.46292,100.2981094
15,1162.21,3974.540039,426.9299927,23084,26852,4,1.16,69298.31,3363.590088,3909.52002,28729.88086,423.0799866,53499.37846,100.3210777
16,1175.6801,3971.090088,427.6099854,23070,26759,4,1.16,69298.31,3418.326904,3974.540039,29176.69922,426.9299927,57053.04875,100.3440512
17,1186.36,3958.550049,430.6499939,23070,26672,4,1.16,69298.31,3435.300049,3971.090088,29384.51953,427.6099854,59793.61404,100.36703
18,1191.4399,3972.889893,429.6000061,23074,26676,4,1.16,69298.31,3456.679932,3958.550049,29432.69922,430.6499939,60989.52456,100.390014
19,1216.1,4019.870117,432.2200012,23065,26677,4,2.7,69346.35,3441.909912,3972.889893,29178.80078,429.6000061,61065.23759,100.4130033
20,1224.45,4019.870117,432.2200012,23065,26677,4,2.7,69346.35,3466.330078,4019.870117,29388.86914,432.2200012,61308.62043,100.4359979
21,1236.05,4077.909912,432.2200012,23079,26677,4,2.7,69346.35,3484.39209,4019.870117,29854,432.2200012,61774.49624,100.4589977
22,1239.96,4073.939941,435.2600098,23090,26865,4,2.7,69346.35,3484.39209,4077.909912,30089.25,432.2200012,61420.44612,100.4820029
23,1242.38,4079.949951,434.3200073,23090,27062,4,2.7,69346.35,3482.969971,4073.939941,29696.63086,435.2600098,60584.45642,100.5050132
24,1234.89,4097.169922,436.8599854,23085,26984,4,2.7,69346.35,3479.629883,4079.949951,29730.78906,434.3200073,58271.78878,100.5280289
25,1231.66,4128.799805,437.230011,23085,26984,4,2.7,69346.35,3482.550049,4097.169922,29708.98047,436.8599854,60673.49421,100.5510498
26,1252.45,4127.990234,435.2399902,23067,27074,4,2.7,69346.35,3450.679932,4128.799805,29768.06055,437.230011,60571.81117,100.574076
27,1248.33,4141.589844,435.75,23069,27034,4,2.7,69346.35,3412.949951,4127.990234,29538.73047,435.2399902,62311.72232,100.5971075
28,1255.87,4124.660156,436.5700073,23078,27188,4,2.7,69346.35,3396.469971,4141.589844,29751.60938,435.75,66106.49467,100.6201442
29,1247.25,4170.419922,438.5499878,23073,27202,4,2.7,69346.35,3416.719971,4124.660156,29620.99023,436.5700073,65867.42784,100.6431862
30,1238.71,4185.470215,442.4899902,23073,27202,4,2.7,69346.35,3398.98999,4170.419922,29642.68945,438.5499878,66163.95329,100.6662335
31,1260.58,4163.259766,442.1799927,23073,27385,4,2.7,69346.35,3426.620117,4185.470215,29683.36914,442.4899902,64358.86683,100.6892861
32,1268.28,4134.939941,433.7999878,23074,27403,4,2.7,69346.35,3477.550049,4163.259766,29685.36914,442.1799927,58189.45091,100.7123439
33,1227.8199,4134.97998,439.6300049,23070,27403,4,2.7,69346.35,3472.939941,4134.939941,29100.38086,433.7999878,59104.4001,100.735407
34,1248.53,4180.169922,439.0400085,23070,27403,4,2.7,69346.35,3472.929932,4173.419922,28508.55078,436.6400146,56567.29025,100.7584754
35,1215.77,4187.620117,440.2000122,23040,27463,4,2.7,69346.35,3465.110107,4134.97998,29188.16992,439.6300049,54455.26737,100.7815491
36,1219.75,4186.720215,439.8500061,23042,27446,4,2.7,69346.35,3474.169922,4180.169922,29020.63086,439.0400085,53734.81149,100.8046281
37,1229.55,4183.180176,439.9200134,23047,27411,4,2.7,69346.35,3441.169922,4187.620117,29126.23047,440.2000122,56840.01153,100.8277124
38,1239.39,4211.470215,438.769989,23054,27549,4,2.7,69346.35,3442.610107,4186.720215,28991.89063,439.8500061,57993.7497,100.8508019
39,1242.2,4164.660156,433.6499939,23050,27308,4,2.9,69346.35,3457.070068,4183.180176,29053.9707,439.9200134,57867.14491,100.8738968
40,1256.4301,4167.589844,441.5499878,23060,27311,4,2.9,69346.35,3474.899902,4211.470215,29053.9707,438.769989,56605.32463,100.8969969
41,1250.5699,4201.620117,441.019989,23067,27378,4,2.9,69346.35,3446.860107,4181.169922,28812.63086,437.3900146,60834.03085,
42,1241.8101,4232.600098,444.9299927,23067,27378,4,2.9,69346.35,3446.860107,4192.660156,28812.63086,439.9200134,60969.505,
43,1259.58,4188.430176,445.3900146,23060,27653,4,2.9,69346.35,3446.860107,4164.660156,28812.63086,433.6499939,56940.3632,
44,1256.04,4152.100098,436.6099854,23055,27644,4,2.9,69346.35,3446.860107,4167.589844,28812.63086,441.5499878,61353.73292,
45,1269.09,4063.040039,437.9299927,23053,27556,4,2.9,69346.35,3441.280029,4201.620117,29331.36914,441.019989,60289.68387,
46,1261.99,4112.5,437.9299927,23040,27420,4,2.9,69346.35,3418.870117,4232.600098,29357.82031,444.9299927,61238.34957,
47,1266.36,4173.850098,442.5299988,23040,27420,4,2.9,69346.35,3427.98999,4188.430176,29518.33984,445.3900146,60219.53353,
48,1258.7,4163.290039,442.2900085,23046,27641,4,2.9,69346.35,3441.850098,4152.100098,28608.58984,436.6099854,61301.18303,
49,1252.6801,4127.830078,443.0400085,23040,27729,4,2.9,69346.35,3462.75,4063.040039,28147.50977,437.9299927,53282.05514,
50,1262.49,4115.680176,436.3399963,23045,27732,4,2.9,69346.35,3429.540039,4112.5,27448.00977,437.9299927,53793.27268,
51,1278.22,4159.120117,441.8999939,23045,27708,4,2.9,69346.35,3490.379883,4173.850098,28084.4707,442.5299988,54334.37808,
52,1283.9301,4155.859863,444.4400024,23045,27708,4,2.9,69346.35,3517.620117,4163.290039,27824.83008,442.2900085,47140.90541,
53,1297.98,4197.049805,444.4400024,23056,27762,4,2.9,69346.35,3529.01001,4127.830078,28406.83984,443.0400085,46628.64071,
54,1308.58,4188.129883,445.2000122,23060,27846,4,2.9,69346.35,3510.959961,4115.680176,28044.44922,436.3399963,39680.82526,
55,1316.7,4195.990234,445.2200012,23055,27817,4,2.9,69346.35,3506.939941,4159.120117,28098.25,441.8999939,43811.90031,
56,1303.5699,4200.879883,446.4400024,23045,27739,4,2.9,69346.35,3486.560059,4155.859863,28317.83008,444.4400024,39942.63964,
57,1320.46,4204.109863,448.980011,23045,27739,4,2.9,69346.35,3497.280029,4197.049805,28364.60938,444.4400024,41561.4781,
58,1328.05,4204.109863,446.7600098,23040,27699,4,2.9,69346.35,3581.340088,4188.129883,28553.98047,445.2000122,41321.53466,
59,1337.78,4202.040039,450.1000061,23044,27769,4,2.4,69346.35,3593.360107,4195.990234,28642.18945,445.2200012,42417.88986,
60,1340.78,4208.120117,451.3399963,23040,27650,4,2.4,69346.35,3608.850098,4200.879883,28549.00977,446.4400024,41399.73904,
61,1364.28,4192.850098,450.7900085,23041,27681,4,2.4,69346.35,3600.780029,4204.109863,29149.41016,448.980011,38324.29606,
62,1374.05,4229.890137,452.5700073,23041,27681,4,2.4,69346.35,3615.47998,4204.109863,28860.08008,446.7600098,40269.66582,
63,1358.78,4226.52002,453.5599976,23000,27565,4,2.4,69346.35,3624.709961,4202.040039,28814.33984,450.1000061,39533.85856,
64,1319.88,4227.259766,454.0100098,22952,27551,4,2.4,69346.35,3597.139893,4208.120117,28946.14063,451.3399963,40500.97779,
65,1332.9,4219.549805,454.4400024,22955,27593,4,2.4,69346.35,3584.209961,4192.850098,29058.10938,450.7900085,42291.0093,
66,1323.58,4239.180176,454.5599976,22947,27527,4,2.4,69346.35,3591.840088,4229.890137,28941.51953,452.5700073,39792.05999,
67,1351.74,4247.439941,457.5100098,22947,27527,4,2.4,69346.35,3599.540039,4226.52002,29019.24023,453.5599976,36338.79433,
68,1361.72,4255.149902,458.3200073,22944,27412,4,2.4,69346.35,3580.110107,4227.259766,28963.56055,454.0100098,36176.99553,
69,1367.36,4246.589844,458.8099976,22947,27410,4,2.4,69346.35,3591.399902,4219.549805,28860.80078,454.4400024,40152.72101,
70,1356.52,4223.700195,459.8599854,22946,27405,4,2.4,69346.35,3610.860107,4239.180176,28958.56055,454.5599976,39366.95181,
71,1359.92,4221.859863,459.3299866,22960,27001,4,2.4,69346.35,3589.75,4247.439941,28948.73047,457.5100098,39873.96311,
72,1377.77,4166.450195,452.0499878,22960,27001,4,2.4,69346.35,3589.75,4255.149902,29161.80078,458.3200073,42954.75278,
73,1372.63,4224.790039,455.230011,23014,26979,4,2.4,69346.35,3556.560059,4246.589844,29441.30078,458.8099976,43223.54771,
74,1379.97,4246.439941,456.4200134,23025,26987,4,2.4,69346.35,3518.330078,4223.700195,29291.00977,459.8599854,40905.68266,
75,1376.87,4241.839844,453.1000061,23020,27099,4,2.4,69346.35,3525.600098,4221.859863,29018.33008,459.3299866,40617.40054,
76,1379.72,4266.490234,457.0400085,23003,27079,4,2.4,69346.35,3525.100098,4166.450195,28964.08008,452.0499878,38197.96143,
77,1390.12,4280.700195,457.6300049,23003,27079,4,2.4,69346.35,3529.179932,4224.790039,28010.92969,455.230011,33708.52891,
78,1405.8101,4290.609863,454.9400024,23020,27089,4,2.4,69346.35,3557.409912,4246.439941,28884.13086,456.4200134,34518.17266,
79,1410.04,4291.799805,456.3699951,23020,27011,4,2.4,69346.35,3566.219971,4241.839844,28874.89063,453.1000061,35861.07876,
80,1408.55,4297.5,452.8399963,23020,27011,4,2.4,69346.35,3566.649902,4266.490234,28875.23047,457.0400085,36805.77185,
