Date,VN-Index,S&P500,STOXX,VND/USD,VND/EUR,interest rate,inflation,GDP
1/2/2007,741.27,1416.599976,369.8399963,15423,20470,6.5,6.4,17896.42
1/3/2007,757.71,1416.599976,369.8399963,15476,20380,6.5,6.4,17896.42
1/4/2007,788.82,1418.339966,368.7600098,15419,20180,6.5,6.4,17896.42
1/5/2007,816.51,1409.709961,365.6900024,15507,20165,6.5,6.4,17896.42
1/8/2007,825.11,1412.839966,365.3800049,15403,20037,6.5,6.4,17896.42
1/9/2007,844.91,1412.109985,366.2099915,15448,20074,6.5,6.4,17896.42
1/10/2007,865.71,1414.849976,363.8399963,15451,19995,6.5,6.4,17896.42
1/11/2007,885.43,1423.819946,370.1000061,15446,19932,6.5,6.4,17896.42
1/12/2007,914.79,1430.72998,371.8599854,15468,19855,6.5,6.4,17896.42
1/15/2007,947.15,1430.72998,374.1600037,15387,19902,6.5,6.4,17896.42
1/16/2007,983.6,1431.900024,372.019989,15469,19981,6.5,6.4,17896.42
1/17/2007,964.96,1430.619995,371.730011,15469,19903,6.5,6.4,17896.42
1/18/2007,946.84,1426.369995,371.5799866,15376,19930,6.5,6.4,17896.42
1/19/2007,1023.05,1430.5,374.230011,15406,19975,6.5,6.4,17896.42
1/22/2007,1027.7,1422.949951,372.7999878,15426,19970,6.5,6.4,17896.42
1/23/2007,1040.7,1427.98999,372.6099854,15421,20086,6.5,6.4,17896.42
1/24/2007,1016.39,1440.130005,376.019989,15461,20043,6.5,6.4,17896.42
1/25/2007,988.86,1423.900024,374.8699951,15472,20003,6.5,6.4,17896.42
1/26/2007,974.76,1422.180054,372.3800049,15418,19891,6.5,6.4,17896.42
1/29/2007,995.55,1420.619995,373.3399963,15412,19891,6.5,6.4,17896.42
1/30/2007,1023.97,1428.819946,374.6000061,15381,19939,6.5,6.4,17896.42
1/31/2007,1041.33,1438.23999,372.7200012,15386,19899,6.5,6.4,17896.42
2/1/2007,1049.3199,1445.939941,376.9500122,15380,20029,6.5,6.57,17896.42
2/2/2007,1074.55,1448.390015,378.980011,15468,20047,6.5,6.57,17896.42
2/5/2007,1058.71,1446.98999,379.230011,15360,19858,6.5,6.57,17896.42
2/6/2007,1091.38,1448,380.5400085,15356,19877,6.5,6.57,17896.42
2/7/2007,1095.75,1450.02002,381.6199951,15314,19914,6.5,6.57,17896.42
2/8/2007,1052.86,1448.310059,378.2999878,15301,19930,6.5,6.57,17896.42
2/9/2007,1030.9,1438.060059,380.2399902,15331,19936,6.5,6.57,17896.42
2/12/2007,1054.26,1433.369995,378.0599976,15331,19849,6.5,6.57,17896.42
2/13/2007,1074.46,1444.26001,378.7200012,15313,19936,6.5,6.57,17896.42
2/14/2007,1073.1899,1455.300049,381.7000122,15297,20054,6.5,6.57,17896.42
2/15/2007,1083.25,1456.810059,381.2900085,15329,20137,6.5,6.57,17896.42
2/26/2007,1129.02,1449.369995,382.1700134,15305,20187,6.5,6.57,17896.42
2/27/2007,1167.36,1399.040039,370.5599976,15325,20283,6.5,6.57,17896.42
2/28/2007,1137.6899,1406.819946,365.0299988,15340,20250,6.5,6.57,17896.42
3/1/2007,1123.0699,1403.170044,361.7900085,15415,20303,6.5,6.89,17896.42
3/2/2007,1147.66,1387.170044,360.6700134,15424,20303,6.5,6.89,17896.42
3/5/2007,1158.9,1374.119995,356.3999939,15360,20103,6.5,6.89,17896.42
3/6/2007,1133.3101,1395.410034,359.6900024,15347,20142,6.5,6.89,17896.42
3/7/2007,1132.23,1391.969971,361.6499939,15351,20150,6.5,6.89,17896.42
3/8/2007,1141.59,1401.890015,366.5400085,15377,20193,6.5,6.89,17896.42
3/9/2007,1155.6801,1402.839966,367.3500061,15401,20200,6.5,6.89,17896.42
3/12/2007,1170.67,1406.599976,365.4899902,15402,20251,6.5,6.89,17896.42
3/13/2007,1158.27,1377.949951,361.5599976,15360,20262,6.5,6.89,17896.42
3/14/2007,1114.21,1387.170044,351.9299927,15361,20275,6.5,6.89,17896.42
3/15/2007,1065.52,1392.280029,359.019989,16016,20313,6.5,6.89,17896.42
3/16/2007,1109.76,1386.949951,359.0599976,15387,20492,6.5,6.89,17896.42
3/19/2007,1133.34,1402.060059,364.4200134,15379,20436,6.5,6.89,17896.42
3/20/2007,1117.25,1410.939941,367.230011,15373,20441,6.5,6.89,17896.42
3/21/2007,1111.63,1435.040039,368.75,15352,20476,6.5,6.89,17896.42
3/22/2007,1099.8199,1434.540039,374.2000122,15365,20476,6.5,6.89,17896.42
3/23/2007,1090.5601,1436.109985,375.980011,15402,20476,6.5,6.89,17896.42
3/26/2007,1072.16,1437.5,372.8500061,15362,20520,6.5,6.89,17896.42
3/27/2007,1034.24,1428.609985,372.4599915,15414,20526,6.5,6.89,17896.42
3/28/2007,1031.79,1417.22998,370.1000061,15408,20539,6.5,6.89,17896.42
3/29/2007,1068.71,1422.530029,374.2900085,15419,20472,6.5,6.89,17896.42
3/30/2007,1071.33,1420.859985,374.2200012,15419,20472,6.5,6.89,17896.42
4/2/2007,1055.1,1424.550049,375.5299988,15425,20563,6.5,7.21,18686.62
4/3/2007,1027.53,1437.77002,379.4899902,15418,20537,6.5,7.21,18686.62
4/4/2007,1050.9,1439.369995,379.9899902,15367,20571,6.5,7.21,18686.62
4/5/2007,1048.98,1443.76001,380.2600098,15351,20571,6.5,7.21,18686.62
4/6/2007,1033.92,1443.76001,380.2600098,15351,20571,6.5,7.21,18686.62
4/9/2007,1041.36,1444.609985,380.2600098,15381,20661,6.5,7.21,18686.62
4/10/2007,1039.67,1448.390015,382.5100098,15393,20677,6.5,7.21,18686.62
4/11/2007,1034.6801,1438.869995,382.1900024,15385,20722,6.5,7.21,18686.62
4/12/2007,1027.58,1447.800049,380.7900085,15441,20873,6.5,7.21,18686.62
4/13/2007,1012.98,1452.849976,383.3299866,15441,20873,6.5,7.21,18686.62
4/16/2007,983,1468.329956,387.7200012,15409,20869,6.5,7.21,18686.62
4/17/2007,965.72,1471.47998,387.8599854,15415,20975,6.5,7.21,18686.62
4/18/2007,1001.12,1472.5,385.8800049,15414,20947,6.5,7.21,18686.62
4/19/2007,998.09,1470.72998,384.3900146,15424,20976,6.5,7.21,18686.62
4/20/2007,968.88,1484.349976,389.269989,15424,20976,6.5,7.21,18686.62
4/23/2007,931.18,1480.930054,388.8500061,15394,20942,6.5,7.21,18686.62
4/24/2007,905.53,1480.410034,385.3800049,15435,21056,6.5,7.21,18686.62
4/25/2007,923.89,1495.420044,387.7999878,15437,20989,6.5,7.21,18686.62
5/2/2007,935.48,1495.920044,388.6400146,15495,20994,6.5,7.42,18686.62
5/3/2007,937.46,1502.390015,389.7200012,15494,20921,6.5,7.42,18686.62
5/4/2007,947.19,1505.619995,392.730011,15494,20921,6.5,7.42,18686.62
5/7/2007,983.62,1509.47998,392.8800049,15450,20907,6.5,7.42,18686.62
5/8/2007,1015.43,1507.719971,389.7900085,15424,20863,6.5,7.42,18686.62
5/9/2007,1019.96,1512.579956,390.5799866,15489,20869,6.5,7.42,18686.62
5/10/2007,1020.04,1491.469971,387.7200012,15493,20771,6.5,7.42,18686.62
5/11/2007,1039.63,1505.849976,389.7799988,15493,20771,6.5,7.42,18686.62
5/14/2007,1066.04,1503.150024,388.9599915,15430,20858,6.5,7.42,18686.62
5/15/2007,1054.6899,1501.189941,390.2099915,15504,20965,6.5,7.42,18686.62
5/16/2007,1040.99,1514.140015,389.4700012,16030,20965,6.5,7.42,18686.62
5/17/2007,1059.79,1512.75,389.4700012,15433,20798,6.5,7.42,18686.62
5/18/2007,1066.5601,1522.75,393.9500122,15433,20798,6.5,7.42,18686.62
5/21/2007,1085.41,1525.099976,393.3599854,15418,20757,6.5,7.42,18686.62
5/22/2007,1107.52,1524.119995,393.3900146,15439,20773,6.5,7.42,18686.62
5/23/2007,1113.1899,1522.280029,396.3900146,15783,21199,6.5,7.42,18686.62
5/24/2007,1085.3,1507.51001,393.5499878,15794,21196,6.5,7.42,18686.62
5/25/2007,1089.6,1515.72998,393.480011,15794,21196,6.5,7.42,18686.62
5/28/2007,1098.64,1515.72998,393.480011,15818,21273,6.5,7.42,18686.62
5/29/2007,1093.77,1518.109985,394.3900146,15786,21197,6.5,7.42,18686.62
5/30/2007,1077.88,1530.22998,393.6499939,15782,21232,6.5,7.42,18686.62
5/31/2007,1081.48,1530.619995,396.7399902,15785,21213,6.5,7.42,18686.62
6/1/2007,1077.36,1536.339966,400.3099976,15785,21213,6.5,7.96,18686.62
6/4/2007,1062.1,1539.180054,399.019989,15794,21358,6.5,7.96,18686.62
6/5/2007,1039.66,1530.949951,396.6099854,15824,21363,6.5,7.96,18686.62
6/6/2007,1045.29,1517.380005,390.0700073,15858,21289,6.5,7.96,18686.62
6/7/2007,1060.02,1490.719971,385.4599915,15959,21083,6.5,7.96,18686.62
6/8/2007,1057.36,1507.670044,385.0899963,15959,21083,6.5,7.96,18686.62
6/11/2007,1040.75,1509.119995,388.8800049,15855,21093,6.5,7.96,18686.62
6/12/2007,1036.54,1493,386.7999878,15871,20994,6.5,7.96,18686.62
6/13/2007,1038.8,1515.670044,388.2200012,15816,21049,6.5,7.96,18686.62
6/14/2007,1042.79,1522.969971,394.2900085,15812,21065,6.5,7.96,18686.62
6/15/2007,1048.1899,1532.910034,399.269989,15812,21065,6.5,7.96,18686.62
6/18/2007,1043.99,1531.050049,397.8699951,15807,21197,6.5,7.96,18686.62
6/19/2007,1049.58,1533.699951,396.4200134,15859,21250,6.5,7.96,18686.62
6/20/2007,1045.28,1512.839966,397.8500061,15873,21172,6.5,7.96,18686.62
6/21/2007,1034.4301,1522.189941,393.7000122,15816,21246,6.5,7.96,18686.62
6/22/2007,1033.6899,1502.560059,392.4299927,15816,21246,6.5,7.96,18686.62
6/25/2007,1044.39,1497.73999,391.9400024,15832,21308,6.5,7.96,18686.62
6/26/2007,1055.7,1492.890015,389.519989,15848,21272,6.5,7.96,18686.62
6/27/2007,1032.96,1506.339966,387.6900024,15835,21322,6.5,7.96,18686.62
6/28/2007,1024.04,1505.709961,391.6000061,15865,21381,6.5,7.96,18686.62
6/29/2007,1024.6801,1503.349976,393.7099915,15865,21381,6.5,7.96,18686.62
7/2/2007,994.17,1519.430054,392.230011,15838,21551,6.5,8.49,19685.42
7/3/2007,977.3,1524.869995,395.7099915,15836,21561,6.5,8.49,19685.42
7/4/2007,1013.56,1524.869995,397.5,15900,21612,6.5,8.49,19685.42
7/5/2007,1012.82,1525.400024,394.9299927,15898,21534,6.5,8.49,19685.42
7/6/2007,1010.53,1530.439941,397.269989,15898,21534,6.5,8.49,19685.42
7/9/2007,1010.27,1531.849976,398.519989,16130,21615,6.5,8.49,19685.42
7/10/2007,1023.04,1510.119995,394.019989,15846,21796,6.5,8.49,19685.42
7/11/2007,1029.85,1518.76001,392.7200012,15864,21852,6.5,8.49,19685.42
7/12/2007,1017.68,1547.699951,397.3399963,15855,21820,6.5,8.49,19685.42
7/13/2007,1015.73,1552.5,399.019989,15855,21820,6.5,8.49,19685.42
7/16/2007,995.83,1549.52002,399.7099915,15864,21824,6.5,8.49,19685.42
7/17/2007,1000.33,1549.369995,397.7900085,15820,21847,6.5,8.49,19685.42
7/18/2007,994.73,1546.170044,393.1400146,15870,21898,6.5,8.49,19685.42
7/19/2007,984.43,1553.079956,396.9400024,15870,21859,6.5,8.49,19685.42
7/20/2007,981.31,1534.099976,392.5899963,15870,21859,6.5,8.49,19685.42
7/23/2007,979.23,1541.569946,394.9899902,15840,21896,6.5,8.49,19685.42
7/24/2007,982.43,1511.040039,388.9400024,15859,21759,6.5,8.49,19685.42
7/25/2007,972.56,1518.089966,385.5,15866,21745,6.5,8.49,19685.42
7/26/2007,956.13,1482.660034,374.5599976,15853,21634,6.5,8.49,19685.42
7/27/2007,940.36,1458.949951,372.6900024,15853,21634,6.5,8.49,19685.42
7/30/2007,925.44,1473.910034,372.0299988,15873,21714,6.5,8.49,19685.42
7/31/2007,907.95,1455.27002,380.0700073,15893,21656,6.5,8.49,19685.42
8/1/2007,923.14,1465.810059,380.0700073,15853,21681,6.5,8.71,19685.42
8/2/2007,911.18,1472.199951,376.9299927,15821,21728,6.5,8.71,19685.42
