000001.SS,^GSPC,^N225,^STOXX,Index
3135.920898,2257.830078,19594.16016,365.7099915,1058.191416
3158.793945,2270.75,19594.16016,365.2600098,1170.819431
3165.410889,2269,19520.68945,365.6400146,1027.927125
3154.321045,2276.97998,19454.33008,365.4500122,916.3169484
3171.236084,2268.899902,19454.33008,363.6700134,917.4555626
3161.670898,2268.899902,19301.43945,364.0700073,922.8201256
3136.753906,2275.320068,19364.66992,364.8999939,791.3215692
3119.289063,2270.439941,19134.69922,362.5100098,818.6581144
3112.763916,2274.639893,19287.2793,365.9400024,837.6443787
3103.427979,2274.639893,19095.24023,362.9700012,845.0730369
3108.774902,2267.889893,18813.5293,362.4200134,922.1793387
3113.011963,2271.889893,18894.36914,363.0700073,900.6839814
3101.299072,2263.689941,19072.25,362.8500061,913.3308077
3123.138916,2271.310059,19137.91016,362.5799866,909.5166113
3136.774902,2265.199951,18891.0293,361.0100098,935.6685839
3142.552979,2280.070068,18787.99023,361.9200134,907.1056113
3149.554932,2298.370117,19057.5,366.5899963,915.8270226
3159.166016,2296.679932,19402.39063,367.5,932.0094185
3159.166016,2294.689941,19467.40039,366.3800049,934.1431801
3159.166016,2280.899902,19368.84961,362.5499878,934.9744692
3159.166016,2278.870117,19041.33984,360.1199951,985.2091551
3159.166016,2279.550049,19148.08008,363.2000122,1003.83044
3159.166016,2280.850098,18914.58008,361.9500122,1026.706657
3140.169922,2297.419922,18918.19922,364.0700073,1045.107094
3156.983887,2292.560059,18976.71094,361.6000061,1053.583434
3153.087891,2293.080078,18910.7793,362.7399902,1076.905645
3166.981934,2294.669922,19007.59961,363.9400024,1078.524316
3183.178955,2307.870117,18907.66992,366.7900085,1009.213785
3196.698975,2316.100098,19378.92969,367.3900146,1003.730121
3216.839111,2328.25,19459.15039,370.1300049,1005.629419
3217.927979,2337.580078,19238.98047,370.2000122,1021.345988
3212.986084,2349.25,19437.98047,371.4700012,1024.20896
3229.61792,2347.219971,19347.5293,370.1000061,1044.130451
3202.075928,2351.159912,19234.61914,370.2200012,1062.716821
3239.960938,2351.159912,19251.08008,371.0400085,1096.177741
3253.325928,2365.379883,19381.43945,373.3999939,1131.751729
3261.218018,2362.820068,19379.86914,373.3800049,1133.844861
3251.375,2363.810059,19371.46094,372.8500061,1183.682321
3253.433105,2367.340088,19283.53906,370.0100098,1190.595973
3228.659912,2369.75,19107.4707,369.519989,1199.16921
3241.73291,2363.639893,19118.99023,370.2399902,1199.55816
3246.934082,2395.959961,19393.53906,375.6900024,1243.648601
3230.028076,2381.919922,19564.80078,375.6099854,1273.964439
3218.312012,2383.120117,19469.16992,375.230011,1298.36981
3233.865967,2375.310059,19379.14063,373.269989,1296.357056
3242.406006,2368.389893,19344.15039,372.269989,1246.250118
3240.665039,2362.97998,19254.0293,372.5799866,1170.4273
3216.746094,2364.870117,19318.58008,372.8900146,1210.08311
3212.76001,2372.600098,19604.60938,373.230011,1139.804441
3237.023926,2373.469971,19633.75,374.6400146,1264.683483
3239.327881,2365.449951,19609.5,373.4599915,1272.70979
3241.76001,2385.26001,19577.38086,375.1000061,1288.826756
3268.935059,2381.379883,19590.14063,377.730011,1238.392957
3237.447021,2378.25,19521.58984,378.3200073,1151.11308
3250.808105,2373.469971,19521.58984,377.6799927,1101.653492
3261.611084,2344.02002,19455.88086,375.6700134,1167.694359
3245.219971,2348.449951,19041.38086,374.0299988,1095.418603
3248.550049,2345.959961,19085.31055,377.2000122,1086.248394
3269.445068,2343.97998,19262.5293,376.5100098,994.7114778
3266.955078,2341.590088,18985.58984,375.0100098,1099.5122
3252.947998,2358.570068,19202.86914,377.2999878,1102.080603
3241.313965,2361.129883,19217.48047,378.5299988,1097.28197
3210.237061,2368.060059,19063.2207,380.4599915,1085.616483
3222.513916,2362.719971,18909.25977,381.1400146,1128.494399
3222.513916,2358.840088,18983.23047,379.2900085,1196.237038
3222.513916,2360.159912,18810.25,380.0299988,1186.181259
3270.304932,2352.949951,18861.26953,380.0899963,1181.17803
3281.004883,2357.48999,18597.06055,380.769989,1236.173854
3286.615967,2355.540039,18664.63086,381.2600098,1228.434186
3269.393066,2357.159912,18797.88086,381.25,1239.482244
3288.966064,2353.780029,18747.86914,381.1799927,1257.27104
3273.830078,2344.929932,18552.60938,381.8999939,1257.442895
3275.959961,2328.949951,18426.83984,380.5799866,1229.648928
3244.48291,2328.949951,18335.63086,380.5799866,1225.50414
